epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,970.698,0.917,1.45126,0.00783,0.84061,0.76045,0.8483,0.67451,0.83072,0.84192,0.00965,0.00999716,0.00333239,0.00999716,0.00333239,0.00999716,0.00333239,0.00999716,0.00333239
2,1671.96,0.87847,0.83289,0.00732,0.88071,0.80666,0.89064,0.72043,0.80958,0.71001,0.00958,0.0199923,0.00666409,0.0199923,0.00666409,0.0199923,0.00666409,0.0199923,0.00666409
3,2314.85,0.90359,0.76027,0.00756,0.9022,0.81186,0.90044,0.73386,0.82861,0.63731,0.01013,0.0299679,0.00998929,0.0299679,0.00998929,0.0299679,0.00998929,0.0299679,0.00998929
4,2946.88,0.91963,0.73621,0.00769,0.90792,0.82319,0.9091,0.7454,0.81032,0.6066,0.00978,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,3595.32,0.89884,0.70023,0.00754,0.91284,0.83368,0.91607,0.75636,0.78905,0.58544,0.00944,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,4234.07,0.88329,0.66838,0.00731,0.92079,0.84268,0.9225,0.76677,0.77493,0.54727,0.00917,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,4874.47,0.86398,0.63937,0.00719,0.92231,0.84755,0.92677,0.77529,0.76121,0.52772,0.0091,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,5508.44,0.85882,0.63383,0.0071,0.92588,0.8516,0.93237,0.78499,0.74998,0.50553,0.00896,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,6147.81,0.84773,0.61281,0.00695,0.92813,0.85895,0.93643,0.78933,0.73906,0.49092,0.00871,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,6787.45,0.8386,0.60397,0.00686,0.92936,0.86474,0.93991,0.79617,0.72254,0.47642,0.00838,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,7489.23,0.83782,0.59919,0.00683,0.93083,0.86905,0.9416,0.79828,0.72125,0.47193,0.00842,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,8133.04,0.82625,0.59048,0.00682,0.93291,0.86549,0.94131,0.80047,0.71405,0.45717,0.00823,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,8765.82,0.82279,0.58083,0.00672,0.92976,0.87264,0.94406,0.80307,0.70864,0.4504,0.00816,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,9373.43,0.81788,0.57422,0.00664,0.93493,0.87556,0.94641,0.80766,0.69992,0.43988,0.00802,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,9994.56,0.81192,0.56365,0.00659,0.93527,0.87874,0.94799,0.81078,0.69586,0.43576,0.00794,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
