epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,688.302,1.43521,1.23447,0.01907,0.85717,0.75617,0.84124,0.51687,1.39878,0.91083,0.02614,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,1570.65,1.44383,1.24123,0.01932,0.86255,0.76332,0.84285,0.51963,1.39466,0.90133,0.02599,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,653.892,1.39798,1.16038,0.0185,0.86864,0.76413,0.84431,0.52167,1.39642,0.88908,0.02605,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,1283.69,1.42637,1.21238,0.01906,0.85014,0.77626,0.84628,0.52301,1.39113,0.88785,0.02585,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,1893.21,1.42914,1.21274,0.01904,0.86532,0.77129,0.84609,0.52547,1.38456,0.88451,0.02573,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,624.11,1.36317,1.10278,0.01793,0.86924,0.76939,0.84566,0.52629,1.38341,0.88302,0.02568,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,1223.85,1.41286,1.17883,0.01882,0.8678,0.76907,0.84761,0.52942,1.37979,0.88,0.02563,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,1829.92,1.41977,1.19532,0.01894,0.86543,0.77043,0.84733,0.52982,1.37819,0.87717,0.0256,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,2438.8,1.41686,1.19363,0.01875,0.86365,0.77387,0.84786,0.53073,1.37797,0.87082,0.02563,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3154.16,1.40902,1.17988,0.01857,0.86562,0.77553,0.84914,0.53275,1.37388,0.86667,0.02551,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
