epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.76,0.9511,1.01312,1.20027,0.86977,0.77167,0.86328,0.67288,0.8799,0.73047,1.151,0.00333075,0.00333075,0.00333075
2,519.881,0.84522,0.72319,1.11533,0.89285,0.79997,0.88922,0.7004,0.85658,0.65688,1.14283,0.00659811,0.00659811,0.00659811
3,775.644,0.88125,0.7582,1.13286,0.86179,0.77276,0.86326,0.66665,0.9322,0.79763,1.23326,0.00979947,0.00979947,0.00979947
4,1030.27,0.9031,0.77098,1.15054,0.88779,0.79559,0.88217,0.69486,0.87753,0.71889,1.18795,0.009703,0.009703,0.009703
5,1286.89,0.87977,0.72824,1.1369,0.88835,0.80149,0.8894,0.70354,0.86989,0.69982,1.17492,0.009604,0.009604,0.009604
6,1549.53,0.85258,0.69114,1.12397,0.89496,0.81231,0.89654,0.71325,0.84264,0.67178,1.15869,0.009505,0.009505,0.009505
7,1808.31,0.83331,0.66482,1.11231,0.91127,0.82752,0.9111,0.73488,0.82119,0.60811,1.13569,0.009406,0.009406,0.009406
8,2058.9,0.82457,0.64176,1.10401,0.90815,0.83252,0.91632,0.73959,0.82245,0.6282,1.13587,0.009307,0.009307,0.009307
9,2309.07,0.80109,0.61984,1.09424,0.91048,0.8345,0.91687,0.74387,0.80138,0.58542,1.12295,0.009208,0.009208,0.009208
10,2556.41,0.79257,0.60744,1.08927,0.91462,0.84384,0.92492,0.75762,0.77957,0.56951,1.11787,0.009109,0.009109,0.009109
11,2809.32,0.78726,0.59772,1.08364,0.91772,0.8508,0.92829,0.76012,0.77889,0.56012,1.10697,0.00901,0.00901,0.00901
12,3057.07,0.77682,0.57994,1.07583,0.91937,0.85017,0.92866,0.75899,0.77222,0.53772,1.10063,0.008911,0.008911,0.008911
13,3305.47,0.76963,0.57011,1.06992,0.92516,0.85858,0.93394,0.77298,0.75692,0.51386,1.09647,0.008812,0.008812,0.008812
14,3558.66,0.76596,0.56563,1.07066,0.92494,0.86115,0.93691,0.77538,0.75393,0.52646,1.09302,0.008713,0.008713,0.008713
15,3815.53,0.75638,0.5505,1.06696,0.93265,0.86474,0.94077,0.78254,0.74457,0.49296,1.08018,0.008614,0.008614,0.008614
