epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,370.128,1.57489,2.27964,1.6225,0.57826,0.47492,0.51353,0.22144,1.7885,1.97353,1.91253,0.00999265,0.00333088,0.00999265,0.00333088,0.00999265,0.00333088,0.00999265,0.00333088
2,674.505,1.61659,1.83206,1.66596,0.53004,0.48519,0.47955,0.21429,1.89191,2.01186,2.07694,0.0199878,0.00666259,0.0199878,0.00666259,0.0199878,0.00666259,0.0199878,0.00666259
3,964.685,1.70442,1.83807,1.75197,0.53614,0.47697,0.47942,0.20447,1.97115,2.02377,2.15806,0.0299634,0.00998778,0.0299634,0.00998778,0.0299634,0.00998778,0.0299634,0.00998778
4,1249.73,1.70769,1.84281,1.79026,0.60421,0.50689,0.54842,0.24889,1.848,1.84061,2.11194,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1537.45,1.64994,1.72254,1.74126,0.64709,0.55881,0.60916,0.29138,1.79309,1.66924,1.98753,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1819.4,1.6133,1.6452,1.71557,0.69763,0.56322,0.64613,0.31354,1.73707,1.58858,1.90807,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2098.87,1.58086,1.59848,1.68548,0.70609,0.59196,0.66768,0.32842,1.69898,1.56399,1.88609,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,2386.44,1.55881,1.54596,1.6636,0.72187,0.60282,0.68414,0.34124,1.69452,1.504,1.88007,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,2668.42,1.53688,1.50623,1.64416,0.7155,0.60546,0.68844,0.35397,1.63965,1.43297,1.8262,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,284.519,1.51683,1.46169,1.62427,0.76569,0.61954,0.715,0.36873,1.64701,1.39033,1.82876,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,568.442,1.5016,1.43957,1.61106,0.75647,0.65327,0.73256,0.38383,1.61351,1.34706,1.79864,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,853.601,1.49228,1.40746,1.60366,0.73534,0.64549,0.73344,0.38856,1.59493,1.31484,1.77561,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1147.31,1.46824,1.39538,1.58433,0.7727,0.66413,0.75904,0.4049,1.56935,1.26547,1.76659,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1440.38,1.46052,1.35236,1.57331,0.74167,0.69522,0.76358,0.41556,1.56656,1.23523,1.76427,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,1736.2,1.44695,1.34,1.56453,0.76454,0.69522,0.77506,0.42981,1.5339,1.23102,1.72725,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,2033.02,1.43877,1.32269,1.55059,0.7933,0.70578,0.7857,0.43776,1.51945,1.19872,1.70412,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,2332.3,1.42495,1.29622,1.54271,0.78216,0.70431,0.78458,0.44055,1.51267,1.17324,1.69813,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,2629.81,1.4109,1.28824,1.53678,0.78878,0.70578,0.78843,0.45073,1.48419,1.1556,1.69307,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,2927.12,1.41312,1.27216,1.52897,0.8008,0.71194,0.79415,0.45301,1.46788,1.13645,1.6655,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,3224.65,1.41162,1.26101,1.52874,0.80801,0.7181,0.80272,0.45908,1.46372,1.10405,1.6549,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,3522.07,1.39659,1.24054,1.5209,0.83887,0.70783,0.81253,0.47142,1.44956,1.08178,1.64916,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,3819.1,1.38704,1.23317,1.5094,0.82224,0.73365,0.81064,0.47475,1.429,1.09294,1.62768,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,4117.23,1.37507,1.22289,1.5009,0.82189,0.7445,0.81897,0.48494,1.42103,1.07231,1.61799,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,4416.65,1.37021,1.20472,1.49329,0.81947,0.73775,0.81733,0.4873,1.41914,1.05232,1.61889,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,4710.26,1.36485,1.19606,1.49613,0.83458,0.74294,0.82755,0.49309,1.40541,1.0299,1.60592,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,4989.54,1.36008,1.1803,1.48796,0.83082,0.74333,0.82806,0.49876,1.39224,1.03197,1.60129,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,5266.82,1.34994,1.16611,1.47452,0.82907,0.75594,0.8323,0.50218,1.38325,1.01902,1.59306,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,5543.32,1.33884,1.15567,1.4692,0.84285,0.75515,0.83826,0.51142,1.36986,0.99765,1.5734,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,5821.99,1.33421,1.14857,1.46806,0.84981,0.7533,0.84271,0.51384,1.35923,0.98562,1.56864,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,6101.2,1.32856,1.13182,1.45967,0.83775,0.76386,0.83842,0.5167,1.35239,0.98536,1.56254,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,6379.46,1.3265,1.12748,1.45836,0.84478,0.76298,0.84489,0.51995,1.34957,0.97085,1.55939,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,6657.2,1.31323,1.1152,1.44633,0.83702,0.77618,0.84652,0.52574,1.33869,0.96658,1.55149,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,6935.37,1.30343,1.09596,1.43679,0.84797,0.77823,0.85063,0.53259,1.33528,0.94914,1.54272,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,7212.58,1.30251,1.09384,1.43494,0.84983,0.77794,0.85265,0.53496,1.32273,0.9428,1.53212,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,7490.06,1.29582,1.08884,1.43179,0.86419,0.77413,0.85376,0.53862,1.31595,0.92874,1.5284,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,7768.12,1.2924,1.07582,1.42506,0.86678,0.77618,0.85455,0.54161,1.30821,0.91658,1.52192,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
