epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,35.4817,1.08259,3.45331,0.01133,0.72758,0.79558,0.82075,0.6274,0.89848,0.87774,0.0121,0.00195745,0.000652482,0.00195745,0.000652482,0.00195745,0.000652482,0.00195745,0.000652482
2,44.9846,1.00636,1.39523,0.01029,0.83671,0.87219,0.93267,0.72881,0.81443,0.61682,0.01078,0.00395648,0.00131883,0.00395648,0.00131883,0.00395648,0.00131883,0.00395648,0.00131883
3,54.4346,0.91413,0.80564,0.00863,0.9507,0.95741,0.98845,0.7925,0.78758,0.39198,0.01024,0.00595163,0.00198388,0.00595163,0.00198388,0.00595163,0.00198388,0.00595163,0.00198388
4,63.4772,0.87082,0.47775,0.00851,1,0.99245,0.995,0.80489,0.76805,0.29636,0.00996,0.00598682,0.00199561,0.00598682,0.00199561,0.00598682,0.00199561,0.00598682,0.00199561
5,72.4702,0.809,0.32329,0.00746,0.99917,0.99291,0.995,0.80864,0.75774,0.26982,0.00986,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219
6,81.3211,0.83375,0.30833,0.00742,0.98448,1,0.994,0.81129,0.75514,0.24978,0.00979,0.00596343,0.00198781,0.00596343,0.00198781,0.00596343,0.00198781,0.00596343,0.00198781
7,90.1463,0.84122,0.28891,0.00745,0.99145,1,0.995,0.81246,0.74586,0.20448,0.00967,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246
8,99.0306,0.79539,0.27409,0.0072,0.98664,1,0.99458,0.81992,0.7295,0.21494,0.00947,0.00592847,0.00197616,0.00592847,0.00197616,0.00592847,0.00197616,0.00592847,0.00197616
9,107.854,0.7913,0.31451,0.00721,0.98594,0.99443,0.99486,0.8198,0.73935,0.21112,0.00962,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689
10,116.759,0.81089,0.26475,0.0074,0.98564,0.99291,0.98858,0.81389,0.74635,0.22,0.00974,0.00588207,0.00196069,0.00588207,0.00196069,0.00588207,0.00196069,0.00588207,0.00196069
11,125.682,0.79132,0.24311,0.00714,0.99284,1,0.99331,0.82461,0.74179,0.20139,0.00967,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155
12,134.825,0.77998,0.2331,0.00703,0.97865,1,0.99422,0.83605,0.69954,0.21298,0.00909,0.00582442,0.00194147,0.00582442,0.00194147,0.00582442,0.00194147,0.00582442,0.00194147
13,143.731,0.79193,0.2627,0.00729,0.99219,1,0.99486,0.84573,0.70344,0.18626,0.00914,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048
14,153.094,0.75773,0.22617,0.00706,0.99976,0.99291,0.995,0.84838,0.69211,0.18433,0.00892,0.00575573,0.00191858,0.00575573,0.00191858,0.00575573,0.00191858,0.00575573,0.00191858
15,161.989,0.75874,0.23647,0.00695,0.99291,0.99283,0.99486,0.84234,0.71543,0.19964,0.00922,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578
16,170.771,0.74531,0.24294,0.00658,0.98526,0.99291,0.99479,0.8448,0.68947,0.19669,0.00888,0.00567629,0.0018921,0.00567629,0.0018921,0.00567629,0.0018921,0.00567629,0.0018921
17,179.357,0.75148,0.22141,0.00704,0.99192,0.99291,0.99415,0.8451,0.69152,0.19085,0.00891,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754
18,188.139,0.72562,0.22905,0.00652,0.9859,0.99171,0.99472,0.84044,0.70571,0.20815,0.00917,0.0055864,0.00186213,0.0055864,0.00186213,0.0055864,0.00186213,0.0055864,0.00186213
19,196.871,0.7456,0.23413,0.00687,0.98938,0.98582,0.99472,0.83745,0.69842,0.21421,0.0091,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588
20,205.679,0.74142,0.22581,0.0066,0.99714,1,0.995,0.84988,0.67979,0.17883,0.00879,0.00548643,0.00182881,0.00548643,0.00182881,0.00548643,0.00182881,0.00548643,0.00182881
21,214.848,0.71305,0.22413,0.00654,0.99932,1,0.995,0.8534,0.67476,0.17963,0.00873,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093
22,224.002,0.70677,0.21535,0.00675,1,0.99154,0.995,0.85204,0.66465,0.18452,0.00858,0.00537676,0.00179225,0.00537676,0.00179225,0.00537676,0.00179225,0.00537676,0.00179225
