epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,38.1954,2.21084,3.3988,0.02573,0.28984,0.25185,0.19566,0.06796,2.12412,3.27973,0.02887,0.00194872,0.000649573,0.00194872,0.000649573,0.00194872,0.000649573,0.00194872,0.000649573
2,46.6572,2.1368,3.05233,0.02255,0.55546,0.42222,0.42139,0.13193,2.1392,2.69526,0.0292,0.00394775,0.00131592,0.00394775,0.00131592,0.00394775,0.00131592,0.00394775,0.00131592
3,54.6632,2.05843,2.49766,0.02308,0.6111,0.52593,0.53021,0.17288,2.20926,2.0804,0.0299,0.00594291,0.00198097,0.00594291,0.00198097,0.00594291,0.00198097,0.00594291,0.00198097
4,61.8543,2.03786,2.18259,0.02153,0.6761,0.51024,0.55882,0.18948,2.1433,1.94939,0.02868,0.00598682,0.00199561,0.00598682,0.00199561,0.00598682,0.00199561,0.00598682,0.00199561
5,69.2581,2.04661,2.10271,0.02132,0.61826,0.61481,0.62177,0.22015,2.17882,1.72721,0.02957,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219
6,76.685,1.98971,1.94168,0.02093,0.69291,0.6,0.67502,0.24302,2.09685,1.64652,0.02812,0.00596343,0.00198781,0.00596343,0.00198781,0.00596343,0.00198781,0.00596343,0.00198781
7,83.8893,1.93081,1.88721,0.02036,0.75635,0.59786,0.70951,0.25614,2.14536,1.57742,0.02853,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246
8,90.9512,1.89632,1.87383,0.01985,0.74792,0.65926,0.73977,0.2809,2.0647,1.43232,0.0271,0.00592847,0.00197616,0.00592847,0.00197616,0.00592847,0.00197616,0.00592847,0.00197616
9,98.173,1.91335,1.65665,0.01941,0.78924,0.64444,0.74236,0.29125,2.10492,1.38733,0.02819,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689
10,105.416,1.90995,1.69419,0.02093,0.69682,0.66398,0.74886,0.29464,2.1319,1.34459,0.02845,0.00588207,0.00196069,0.00588207,0.00196069,0.00588207,0.00196069,0.00588207,0.00196069
11,112.699,1.92947,1.71843,0.01997,0.89388,0.56296,0.76271,0.30773,2.05751,1.36738,0.02754,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155
12,119.678,1.90143,1.66491,0.02065,0.63244,0.63704,0.71638,0.292,2.08256,1.55381,0.02777,0.00582442,0.00194147,0.00582442,0.00194147,0.00582442,0.00194147,0.00582442,0.00194147
13,126.974,1.88324,1.63396,0.0191,0.70318,0.64931,0.75738,0.29394,2.09383,1.42309,0.02761,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048
14,134.174,1.88735,1.63852,0.01928,0.83106,0.68889,0.81897,0.34186,2.03284,1.28383,0.02669,0.00575573,0.00191858,0.00575573,0.00191858,0.00575573,0.00191858,0.00575573,0.00191858
15,141.426,1.85935,1.47775,0.01897,0.82251,0.68653,0.79731,0.33814,2.05425,1.27632,0.02746,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578
16,148.703,1.83684,1.54599,0.01887,0.75363,0.65185,0.7326,0.31761,2.04351,1.44471,0.02713,0.00567629,0.0018921,0.00567629,0.0018921,0.00567629,0.0018921,0.00567629,0.0018921
17,155.961,1.80886,1.42832,0.01807,0.87566,0.6782,0.80685,0.34761,2.05943,1.19768,0.02773,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754
18,163.566,1.89607,1.56507,0.01948,0.74708,0.62222,0.71988,0.29582,2.08982,1.44381,0.02779,0.0055864,0.00186213,0.0055864,0.00186213,0.0055864,0.00186213,0.0055864,0.00186213
19,173.255,1.80334,1.45246,0.01799,0.85027,0.55556,0.71767,0.29685,2.06902,1.52551,0.02755,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588
20,180.519,1.84017,1.38027,0.01902,0.89693,0.68148,0.82328,0.35716,2.08389,1.13183,0.02786,0.00548643,0.00182881,0.00548643,0.00182881,0.00548643,0.00182881,0.00548643,0.00182881
21,187.762,1.80511,1.40121,0.01867,0.78795,0.68814,0.77141,0.33541,2.06613,1.29634,0.0273,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093
22,194.956,1.77011,1.34477,0.01807,0.78502,0.65926,0.76836,0.33815,2.07756,1.3664,0.02787,0.00537676,0.00179225,0.00537676,0.00179225,0.00537676,0.00179225,0.00537676,0.00179225
23,202.168,1.80506,1.29632,0.01809,0.82709,0.66667,0.79282,0.33127,2.08298,1.33563,0.02775,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281
24,209.468,1.76142,1.42024,0.01827,0.72124,0.59259,0.70034,0.3058,2.09935,1.47273,0.02831,0.00525783,0.00175261,0.00525783,0.00175261,0.00525783,0.00175261,0.00525783,0.00175261
25,216.721,1.79446,1.45464,0.01826,0.77122,0.77037,0.83597,0.36623,2.05537,1.08711,0.02745,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168
26,224.163,1.76354,1.32081,0.01807,0.76391,0.72593,0.78436,0.34824,1.99131,1.24694,0.02656,0.00513011,0.00171004,0.00513011,0.00171004,0.00513011,0.00171004,0.00513011,0.00171004
27,231.458,1.75886,1.23274,0.01838,0.87509,0.6963,0.8314,0.35436,2.15549,0.99564,0.02829,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877
28,238.523,1.75663,1.23884,0.01757,0.79733,0.72854,0.82357,0.34647,2.13425,1.0969,0.029,0.0049941,0.0016647,0.0049941,0.0016647,0.0049941,0.0016647,0.0049941,0.0016647
29,245.81,1.78425,1.26761,0.01835,0.73363,0.75556,0.80632,0.35457,2.1356,1.08942,0.02853,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105
30,252.991,1.77874,1.30846,0.01865,0.76385,0.8,0.83903,0.37051,2.08762,1.00518,0.02803,0.00485033,0.00161678,0.00485033,0.00161678,0.00485033,0.00161678,0.00485033,0.00161678
31,260.264,1.77645,1.27038,0.01766,0.75115,0.7155,0.79602,0.33906,2.12761,1.10924,0.02832,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191
32,267.401,1.73807,1.20529,0.01712,0.78669,0.81958,0.85113,0.37812,2.07912,0.96626,0.02752,0.00469939,0.00156646,0.00469939,0.00156646,0.00469939,0.00156646,0.00469939,0.00156646
33,274.662,1.78194,1.17441,0.01806,0.78941,0.71852,0.80426,0.36026,2.06785,1.06479,0.02774,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047
34,282.012,1.72585,1.21324,0.01788,0.80437,0.76143,0.83246,0.36417,2.07965,1.02226,0.02811,0.00454185,0.00151395,0.00454185,0.00151395,0.00454185,0.00151395,0.00454185,0.00151395
35,289.469,1.73977,1.26612,0.01842,0.76538,0.77037,0.83013,0.36849,2.0979,0.97881,0.02784,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694
36,296.72,1.73803,1.22014,0.01741,0.78452,0.77037,0.83494,0.37081,2.09011,0.96928,0.02827,0.00437835,0.00145945,0.00437835,0.00145945,0.00437835,0.00145945,0.00437835,0.00145945
37,304.197,1.72139,1.22964,0.01758,0.81778,0.74815,0.83353,0.37009,2.11584,0.93058,0.02835,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152
38,311.486,1.7983,1.2942,0.01836,0.79385,0.71852,0.8096,0.35628,2.08933,1.05702,0.02847,0.00420953,0.00140318,0.00420953,0.00140318,0.00420953,0.00140318,0.00420953,0.00140318
39,318.892,1.71363,1.1358,0.0174,0.75435,0.77339,0.83621,0.36922,2.07983,0.98928,0.02828,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444
40,326.097,1.66003,1.14039,0.01663,0.81688,0.66667,0.78319,0.34943,2.0553,1.13232,0.02732,0.00403605,0.00134535,0.00403605,0.00134535,0.00403605,0.00134535,0.00403605,0.00134535
41,333.281,1.75525,1.197,0.01783,0.79413,0.77037,0.84906,0.37082,2.1079,0.94935,0.0284,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593
42,340.41,1.69321,1.21948,0.01746,0.81234,0.7375,0.83269,0.36602,2.10605,1.046,0.02845,0.0038586,0.0012862,0.0038586,0.0012862,0.0038586,0.0012862,0.0038586,0.0012862
43,347.683,1.65496,1.13658,0.01678,0.88003,0.7037,0.82909,0.37547,2.0954,0.99521,0.02727,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562
44,354.652,1.72084,1.17785,0.01778,0.8252,0.77037,0.81548,0.37282,2.0735,1.00809,0.02743,0.00367789,0.00122596,0.00367789,0.00122596,0.00367789,0.00122596,0.00367789,0.00122596
45,362.013,1.69284,1.20369,0.01672,0.78653,0.76422,0.8409,0.3751,2.058,1.01629,0.02777,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551
46,369.275,1.68634,1.11491,0.01696,0.86328,0.72593,0.85532,0.3792,2.07894,0.92456,0.0277,0.00349461,0.00116487,0.00349461,0.00116487,0.00349461,0.00116487,0.00349461,0.00116487
47,376.493,1.69536,1.07729,0.01754,0.84957,0.75305,0.86029,0.38275,2.06139,0.95798,0.02669,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408
48,383.595,1.65718,1.09007,0.01728,0.85693,0.72593,0.86151,0.38606,2.07542,0.91528,0.02795,0.0033095,0.00110317,0.0033095,0.00110317,0.0033095,0.00110317,0.0033095,0.00110317
49,390.962,1.68267,1.11395,0.01636,0.8586,0.71969,0.86197,0.38997,2.07011,0.92625,0.02715,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216
50,398.289,1.66996,1.08168,0.01766,0.75058,0.83704,0.86068,0.39067,2.07793,0.91561,0.02784,0.00312329,0.0010411,0.00312329,0.0010411,0.00312329,0.0010411,0.00312329,0.0010411
51,405.414,1.7129,1.12467,0.01747,0.74098,0.82645,0.85535,0.38585,2.04077,0.99255,0.02686,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,412.505,1.6736,1.15844,0.01712,0.81289,0.74017,0.84557,0.3762,2.10763,0.9528,0.02865,0.00293671,0.000978903,0.00293671,0.000978903,0.00293671,0.000978903,0.00293671,0.000978903
53,419.645,1.71326,1.14257,0.01786,0.82035,0.78519,0.85802,0.38385,2.03447,0.94856,0.02686,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837
54,426.777,1.60956,1.11374,0.01663,0.90506,0.70612,0.86038,0.37569,2.07275,0.96851,0.02671,0.0027505,0.000916833,0.0027505,0.000916833,0.0027505,0.000916833,0.0027505,0.000916833
