epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.782,0.79531,6.93199,0.0128,0.84964,0.86017,0.92426,0.77863,0.64192,5.57529,0.0136,0.00199262,0.000664207,0.00199262,0.000664207,0.00199262,0.000664207,0.00199262,0.000664207
2,199.37,0.72068,3.22548,0.01085,0.9445,0.93743,0.97778,0.84566,0.59161,1.30845,0.01248,0.00399164,0.00133055,0.00399164,0.00133055,0.00399164,0.00133055,0.00399164,0.00133055
3,284.805,0.66751,1.48192,0.00987,0.97775,0.93113,0.98676,0.8569,0.57825,0.43474,0.01247,0.00598677,0.00199559,0.00598677,0.00199559,0.00598677,0.00199559,0.00598677,0.00199559
4,367.718,0.68101,0.8403,0.00986,0.96671,0.97034,0.99267,0.85395,0.58705,0.23592,0.01266,0.00598682,0.00199561,0.00598682,0.00199561,0.00598682,0.00199561,0.00598682,0.00199561
5,455.5,0.64421,0.58896,0.00965,0.97468,0.9787,0.99331,0.8623,0.57153,0.23814,0.01236,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219
6,536.056,0.63294,0.47068,0.00925,0.9913,0.96577,0.99303,0.8666,0.56015,0.2101,0.01215,0.00596343,0.00198781,0.00596343,0.00198781,0.00596343,0.00198781,0.00596343,0.00198781
7,618.766,0.62335,0.4149,0.00908,0.99144,0.98135,0.99415,0.87518,0.54062,0.20485,0.01167,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246
8,695.497,0.62004,0.38769,0.00893,0.99087,0.97034,0.9936,0.87332,0.54947,0.21268,0.01188,0.00592847,0.00197616,0.00592847,0.00197616,0.00592847,0.00197616,0.00592847,0.00197616
9,750.384,0.60247,0.35206,0.00881,0.99122,0.95636,0.99358,0.87163,0.56245,0.20995,0.01216,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689
10,818.241,0.60154,0.32587,0.00872,0.97066,0.9814,0.99158,0.87975,0.54177,0.20446,0.01168,0.00588207,0.00196069,0.00588207,0.00196069,0.00588207,0.00196069,0.00588207,0.00196069
