epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.463,2.18848,10.6834,0.01173,0.01168,0.61875,0.24785,0.09868,0.82288,33.2,0.0051,0.00199213,0.000664042,0.00199213,0.000664042,0.00199213,0.000664042,0.00199213,0.000664042
2,187.38,1.80447,6.81193,0.00946,0.63239,0.5625,0.63998,0.29893,0.89453,8.05592,0.00558,0.00399115,0.00133038,0.00399115,0.00133038,0.00399115,0.00133038,0.00399115,0.00133038
3,273.508,1.82017,3.82034,0.00949,0.76799,0.7,0.78649,0.37263,0.96022,2.28886,0.00604,0.00598627,0.00199542,0.00598627,0.00199542,0.00598627,0.00199542,0.00598627,0.00199542
4,363.967,1.84001,2.36839,0.00949,0.7567,0.7581,0.81982,0.41562,0.88743,0.56816,0.00573,0.00598682,0.00199561,0.00598682,0.00199561,0.00598682,0.00199561,0.00598682,0.00199561
5,456.548,1.80294,1.79731,0.00935,0.8489,0.81875,0.87125,0.44595,0.90449,0.4903,0.00589,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219
6,543.211,1.77298,1.4404,0.00908,0.88924,0.80283,0.87808,0.45594,0.88293,0.49375,0.00558,0.00596343,0.00198781,0.00596343,0.00198781,0.00596343,0.00198781,0.00596343,0.00198781
7,635.08,1.75753,1.32024,0.00897,0.74707,0.83125,0.84182,0.43767,0.86539,0.49058,0.00557,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246
8,727.4,1.69574,1.20362,0.00861,0.8117,0.8375,0.8737,0.45076,0.91194,0.42579,0.00587,0.00592847,0.00197616,0.00592847,0.00197616,0.00592847,0.00197616,0.00592847,0.00197616
9,818.449,1.69464,1.11735,0.00858,0.83586,0.85937,0.89955,0.47323,0.87435,0.37702,0.0056,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689
10,892.998,1.64711,1.04284,0.00842,0.81954,0.84375,0.89422,0.45616,0.86348,0.48438,0.00548,0.00588207,0.00196069,0.00588207,0.00196069,0.00588207,0.00196069,0.00588207,0.00196069
11,981.39,1.67952,1.00475,0.00862,0.79122,0.84375,0.8928,0.46322,0.91091,0.41798,0.00576,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155
12,1060.38,1.6053,0.98756,0.00793,0.84744,0.86792,0.88628,0.45392,0.88852,0.39296,0.00566,0.00582442,0.00194147,0.00582442,0.00194147,0.00582442,0.00194147,0.00582442,0.00194147
13,1142.59,1.62296,0.92493,0.00821,0.93226,0.86011,0.92853,0.47812,0.90004,0.35494,0.00571,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048
14,1237.81,1.5782,0.87335,0.00774,0.85581,0.85323,0.90513,0.46337,0.90896,0.40487,0.00574,0.00575573,0.00191858,0.00575573,0.00191858,0.00575573,0.00191858,0.00575573,0.00191858
15,1330.84,1.53219,0.82447,0.00797,0.93316,0.85625,0.92892,0.46504,0.92169,0.3555,0.00578,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578
16,1412.77,1.54803,0.83011,0.00781,0.84894,0.9,0.9332,0.48089,0.92451,0.3376,0.00584,0.00567629,0.0018921,0.00567629,0.0018921,0.00567629,0.0018921,0.00567629,0.0018921
17,1497.33,1.51157,0.79753,0.00752,0.86709,0.8875,0.92956,0.46015,0.89244,0.3632,0.00569,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754
18,1576.96,1.49536,0.75934,0.00756,0.83883,0.89375,0.91853,0.48399,0.89214,0.33746,0.00564,0.0055864,0.00186213,0.0055864,0.00186213,0.0055864,0.00186213,0.0055864,0.00186213
19,1647.14,1.48848,0.74805,0.0074,0.86554,0.85,0.91028,0.47605,0.91334,0.42612,0.00571,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588
