epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,838.882,1.01237,1.62232,0.01006,0.84803,0.7711,0.86052,0.67666,0.82802,0.80143,0.0089,0.00999422,0.00333141,0.00999422,0.00333141,0.00999422,0.00333141,0.00999422,0.00333141
2,1503.33,0.95517,0.96917,0.00925,0.88797,0.81123,0.89887,0.72301,0.80868,0.64145,0.00873,0.0199893,0.00666311,0.0199893,0.00666311,0.0199893,0.00666311,0.0199893,0.00666311
3,2131.27,0.97665,0.8809,0.0095,0.8899,0.81871,0.9032,0.71467,0.84673,0.63821,0.00928,0.0299649,0.00998831,0.0299649,0.00998831,0.0299649,0.00998831,0.0299649,0.00998831
4,2752.35,0.98616,0.84552,0.00964,0.90481,0.83315,0.91741,0.74409,0.79631,0.58713,0.00873,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,3373.76,0.97147,0.80384,0.00942,0.91687,0.83434,0.92155,0.75151,0.79177,0.54777,0.00865,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,3988.34,0.95315,0.76688,0.00918,0.91633,0.85066,0.9305,0.7628,0.7787,0.52774,0.00855,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,4604.22,0.9407,0.74487,0.00904,0.92388,0.85495,0.93597,0.76938,0.7693,0.50582,0.00843,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,5214.95,0.93087,0.72283,0.00892,0.92774,0.86171,0.93877,0.77581,0.75753,0.48556,0.00813,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,628.714,0.91542,0.70745,0.00874,0.93314,0.86752,0.9436,0.78545,0.7405,0.46842,0.00791,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1228.66,0.9087,0.69331,0.00864,0.93324,0.87225,0.94724,0.78988,0.73879,0.45454,0.00795,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
