epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,501.953,1.51514,3.72419,0.02359,0.56291,0.49673,0.50188,0.23045,1.69201,1.89027,0.03117,0.00999203,0.00333068,0.00999203,0.00333068,0.00999203,0.00333068,0.00999203,0.00333068
2,891.721,1.63042,2.06902,0.02607,0.60429,0.52718,0.55383,0.26145,1.75192,1.74077,0.03397,0.0199871,0.00666238,0.0199871,0.00666238,0.0199871,0.00666238,0.0199871,0.00666238
3,1281.88,1.7373,2.04729,0.02844,0.56345,0.52324,0.52378,0.23056,1.86472,1.79888,0.03605,0.0299627,0.00998758,0.0299627,0.00998758,0.0299627,0.00998758,0.0299627,0.00998758
4,1637.2,1.7758,2.04969,0.02938,0.58489,0.53063,0.55214,0.24512,1.8263,1.80723,0.03482,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1986.56,1.755,1.93966,0.02869,0.63942,0.54564,0.60096,0.28087,1.77741,1.61595,0.03339,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2338.98,1.72025,1.84336,0.02758,0.65468,0.58231,0.62979,0.30268,1.78878,1.52421,0.03445,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2684.17,1.7086,1.77881,0.02766,0.69441,0.6072,0.66984,0.34306,1.68745,1.43114,0.03123,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3036.01,1.68872,1.73035,0.02701,0.67602,0.63302,0.68636,0.34369,1.67488,1.35501,0.03067,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3396.03,1.67591,1.68098,0.02675,0.73652,0.64961,0.72413,0.37127,1.67071,1.27512,0.0309,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3758.83,1.66277,1.62525,0.0263,0.73463,0.64033,0.72629,0.38456,1.6301,1.22275,0.03004,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,4114.26,1.64692,1.61861,0.02622,0.78932,0.64514,0.74757,0.40146,1.61613,1.18816,0.02903,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,4465.75,1.62615,1.5995,0.02557,0.76012,0.68556,0.75505,0.40767,1.58868,1.14943,0.02881,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,4922.78,1.62406,1.57928,0.02542,0.79591,0.68627,0.76904,0.4178,1.56482,1.12522,0.02838,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,5274.71,1.61088,1.53483,0.02533,0.78003,0.6942,0.77731,0.42105,1.5641,1.08772,0.0284,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,5624.46,1.59285,1.51607,0.02501,0.79773,0.69879,0.78104,0.43851,1.54927,1.06214,0.0278,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,5970.89,1.59026,1.48592,0.02484,0.80484,0.70823,0.79669,0.44781,1.51664,1.04209,0.02706,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,6330.04,1.57955,1.48612,0.02459,0.81344,0.70256,0.80187,0.46118,1.49148,1.01871,0.02626,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,6689.9,1.57955,1.4627,0.02469,0.81279,0.72632,0.81253,0.46343,1.48753,0.99299,0.02611,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,7703.09,1.56328,1.44269,0.0242,0.81328,0.72605,0.81682,0.47714,1.4696,0.95585,0.02576,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,8048.54,1.55763,1.42735,0.02422,0.8379,0.73387,0.82688,0.48417,1.45537,0.92833,0.0256,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,8390.72,1.54946,1.39875,0.024,0.82783,0.75735,0.83803,0.49503,1.44725,0.89417,0.02557,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,8739.59,1.53788,1.38811,0.02391,0.8425,0.76087,0.84155,0.49991,1.43264,0.88414,0.02493,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,9087.12,1.5296,1.37795,0.02358,0.85223,0.74143,0.83708,0.50315,1.40808,0.898,0.02462,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,9432.78,1.53782,1.35652,0.02367,0.84875,0.7776,0.85317,0.51715,1.40519,0.83645,0.0244,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,9776.26,1.52201,1.35223,0.02332,0.86305,0.75574,0.85012,0.52446,1.37305,0.83786,0.02361,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,10120.3,1.51765,1.34396,0.02346,0.84651,0.77247,0.85927,0.53362,1.35067,0.82604,0.02323,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,10465.4,1.50307,1.32203,0.02321,0.84255,0.78569,0.86135,0.5383,1.34593,0.80778,0.02315,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,10809.5,1.50138,1.31021,0.02308,0.8612,0.79046,0.87115,0.54562,1.33836,0.78604,0.02312,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,11155,1.49654,1.31366,0.023,0.87098,0.78731,0.87612,0.54978,1.33271,0.77441,0.02287,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,11499.4,1.48481,1.28823,0.02291,0.86242,0.79541,0.87615,0.55238,1.32733,0.76513,0.02282,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,11845,1.47053,1.29038,0.02258,0.89337,0.77841,0.87857,0.56241,1.3049,0.75156,0.02227,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,12189.9,1.48123,1.26742,0.02263,0.86879,0.80241,0.88157,0.56686,1.30178,0.72932,0.02239,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,12535.3,1.45561,1.25728,0.02229,0.8761,0.79919,0.88516,0.56947,1.29657,0.72901,0.02223,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,12882.9,1.4621,1.24103,0.02235,0.87755,0.79379,0.88644,0.57586,1.27465,0.71865,0.02179,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,13228,1.43973,1.24632,0.02195,0.88923,0.79299,0.88567,0.58166,1.24809,0.72264,0.02118,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,13574.9,1.43882,1.23073,0.02183,0.88567,0.81188,0.89101,0.58592,1.24044,0.70287,0.02098,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,13918.8,1.4393,1.21569,0.02182,0.88992,0.80518,0.8947,0.59149,1.2269,0.70176,0.02068,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,14263.2,1.4218,1.20628,0.02152,0.89634,0.80432,0.89551,0.59501,1.22055,0.69334,0.02054,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,14608.7,1.42749,1.20351,0.02165,0.88314,0.81646,0.89512,0.5981,1.21834,0.69279,0.02055,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,14954.6,1.40747,1.18132,0.02122,0.88513,0.81735,0.8968,0.60227,1.21435,0.6776,0.02045,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,15300.4,1.40094,1.16383,0.02123,0.88808,0.82132,0.90045,0.60645,1.20054,0.6676,0.02019,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,15644.4,1.39375,1.16566,0.02107,0.8883,0.82321,0.90094,0.61018,1.19111,0.66416,0.02008,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
